gameid,datacompleteness,url,league,year,split,playoffs,date,game,patch,participantid,side,position,playername,playerid,teamname,teamid,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,kills,deaths,assists,teamkills,teamdeaths,doublekills,triplekills,quadrakills,pentakills,firstblood,firstbloodkill,firstbloodassist,firstbloodvictim,team kpm,ckpm,firstdragon,dragons,opp_dragons,elementaldrakes,opp_elementaldrakes,infernals,mountains,clouds,oceans,chemtechs,hextechs,dragons (type unknown),elders,opp_elders,firstherald,heralds,opp_heralds,firstbaron,barons,opp_barons,firsttower,towers,opp_towers,firstmidtower,firsttothreetowers,turretplates,opp_turretplates,inhibitors,opp_inhibitors,damagetochampions,dpm,damageshare,damagetakenperminute,damagemitigatedperminute,wardsplaced,wpm,wardskilled,wcpm,controlwardsbought,visionscore,vspm,totalgold,earnedgold,earned gpm,earnedgoldshare,goldspent,gspd,total cs,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,100,Blue,team,,,Team WE,oe:team:62c1cd9465dc63824593ee5046f5aa8,,Rek'Sai,Alistar,Tristana,Karma,Shen,2830,1,11,15,33,11,15,0,0,0,0,0,,,,0.2332,0.5512,1,3,2,,,1,0,0,1,,,,1,0,1,1,0,1,2,0,1,10,4,1,1,,,3,0,105176,2229.8799,,3211.3569,3588.0212,160,3.3922,93,1.9717,46,439,9.3074,88827,58685,1244.2049,,77508,0.0444861,,1139,201,129,20,28.4099,15120,19100,305,14976,18934,301,144,166,4,0,0,1,1,4,0,23978,29522,487,23297,29727,494,681,-205,-7,0,0,1,1,4,0
TRLH1/1002360213,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d,WCS,2017,,0,9/23/2017 5:02,1,7.18,200,Red,team,,,Lyon Gaming,oe:team:d996d27c1737a1f7494fc09d6911339,,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,2830,0,15,11,54,15,11,3,0,0,0,1,,,,0.318,0.5512,0,2,3,,,1,0,1,0,,,,0,1,0,0,1,0,0,2,0,4,10,0,0,,,0,3,115179,2441.9576,,2927.5972,3730.0283,174,3.689,61,1.2933,54,371,7.8657,76419,46277,981.1378,,74135,-0.0444861,,1165,207,133,5,29.0883,14976,18934,301,15120,19100,305,-144,-166,-4,1,4,0,0,0,1,23297,29727,494,23978,29522,487,-681,205,7,1,4,0,0,0,1
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,1,Blue,top,Impact,oe:player:21f59b54f62b5b8b4bc0f63f0f617fc,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Galio,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,1815,1,2,0,6,13,3,0,0,0,0,1,0,1,0,0.4298,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9492,313.7851,0.185478,352.3967,782.281,13,0.4298,3,0.0992,3,31,1.0248,11194,7236,239.2066,0.182723,10625,,209,208,1,0,0,6.9091,3000,4534,74,3187,4695,86,-187,-161,-12,0,0,0,0,0,0,4852,7488,121,4534,6706,123,318,782,-2,0,2,0,0,0,1
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,2,Blue,jng,Contractz,oe:player:8a5dbe19794784cfd0553556844f045,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Rek'Sai,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,1815,1,2,2,5,13,3,0,0,0,0,0,0,0,0,0.4298,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,8130,268.7603,0.158864,833.7521,538.7107,23,0.7603,8,0.2645,7,54,1.7851,11158,7200,238.0165,0.181814,9800,,159,18,141,76,14,5.2562,3079,3586,50,2795,3229,39,284,357,11,0,0,0,0,0,0,5007,6129,80,4410,5379,68,597,750,12,1,0,0,1,0,0
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,3,Blue,mid,Jensen,oe:player:7e0e7ac2a199e8e2ecb30499a3b2153,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,LeBlanc,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,1815,1,5,1,7,13,3,0,0,0,0,1,1,0,0,0.4298,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,19550,646.281,0.382015,415.9339,177.0579,9,0.2975,9,0.2975,1,35,1.157,13466,9508,314.314,0.240094,11475,,251,248,3,3,0,8.2975,3183,4483,83,2408,3561,44,775,922,39,0,0,0,0,0,0,5215,7333,128,4134,6065,82,1081,1268,46,1,0,1,0,1,1
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,4,Blue,bot,Sneaky,oe:player:267b730dd2e2dcb97182a2795935491,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Xayah,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,1815,1,3,0,5,13,3,0,0,0,0,0,0,0,0,0.4298,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11668,385.719,0.227997,249.0248,145.4215,13,0.4298,12,0.3967,4,42,1.3884,13941,9983,330.0165,0.252088,11425,,295,282,13,7,2,9.7521,3214,3190,86,3122,2904,75,92,286,11,0,0,0,0,0,0,4954,5664,140,4977,5209,132,-23,455,8,0,0,0,0,0,0
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,5,Blue,sup,Smoothie,oe:player:4d2f4b9fa48af3a3618b2cbac02fa9b,Cloud9,oe:team:fc8e90107dabb9a35c490b0d86adea0,Rakan,Tristana,Sejuani,Kalista,Trundle,Dr. Mundo,1815,1,1,0,10,13,3,0,0,0,0,0,0,0,0,0.4298,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2336,77.2231,0.0456464,171.4711,284.6942,39,1.2893,12,0.3967,10,75,2.4793,9632,5674,187.5702,0.143281,8300,,13,13,0,0,0,0.4298,1997,2452,1,2728,2669,13,-731,-217,-12,0,0,0,0,0,0,3134,4116,3,4120,3823,23,-986,293,-20,0,1,0,0,0,0
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,6,Red,top,Edger,oe:player:34403168237bc47bb46755607a966c6,Team oNe eSports,oe:team:364547a649dd1c75e258f0d5168509f,Gnar,Elise,Thresh,Syndra,Orianna,Jarvan IV,1815,0,1,3,0,3,13,0,0,0,0,0,0,0,0,0.0992,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9711,321.0248,0.290444,656.0661,405.4215,14,0.4628,4,0.1322,3,28,0.9256,9737,5779,191.0413,0.21524,9325,,258,257,1,1,0,8.5289,3187,4695,86,3000,4534,74,187,161,12,0,0,0,0,0,0,4534,6706,123,4852,7488,121,-318,-782,2,0,0,1,0,2,0
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,7,Red,jng,4LaN,oe:player:4722002878fca46731343f6cada2f18,Team oNe eSports,oe:team:364547a649dd1c75e258f0d5168509f,Nidalee,Elise,Thresh,Syndra,Orianna,Jarvan IV,1815,0,1,2,1,3,13,0,0,0,0,0,0,0,0,0.0992,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5508,182.0826,0.164738,633.4545,294.3802,28,0.9256,10,0.3306,13,68,2.2479,8634,4676,154.5785,0.17416,7800,,133,24,109,81,3,4.3967,2795,3229,39,3079,3586,50,-284,-357,-11,0,0,0,0,0,0,4410,5379,68,5007,6129,80,-597,-750,-12,1,0,0,1,0,0
TRLH1/1002360222,complete,http://matchhistory.euw.leagueoflegends.com/en/#match-details/TRLH1/1002360222?gameHash=23ef49968b8fd580,WCS,2017,,0,9/23/2017 6:27,1,7.18,8,Red,mid,Brucer,oe:player:88f05991e7e4a8ed9c837be13c91133,Team oNe eSports,oe:team:364547a649dd1c75e258f0d5168509f,Lucian,Elise,Thresh,Syndra,Orianna,Jarvan IV,1815,0,0,3,3,3,13,0,0,0,0,0,0,0,1,0.0992,0.5289,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,7396,244.4959,0.221205,508.7934,262.0826,16,0.5289,9,0.2975,5,37,1.2231,9411,5453,180.2645,0.203099,8875,,218,199,19,8,0,7.2066,2408,3561,44,3183,4483,83,-775,-922,-39,0,0,0,0,0,0,4134,6065,82,5215,7333,128,-1081,-1268,-46,0,1,1,1,0,1
